Código,Ação,Tipo,setor,LPA,ROA,ROE,P/L,VPA
SLCE3,SLC AGRICOLA,ON      NM,Agropecuária,"0,91",2.39,"8,1%","19,16","11,18"
SUZB3,SUZANO S.A.,ON  EJ  NM,Madeira e Papel,"3,31",2.73,"10,1%","18,86","32,81"
TAEE11,TAESA,UNT     N2,Energia Elétrica,"4,16",7.1,"20,6%","8,06","20,20"
VIVT3,TELEF BRASIL,ON  EJ,Telecomunicações,"3,30",4.35,"7,8%","15,71","42,33"
TIMS3,TIM,ON  EJ  NM,Telecomunicações,"0,66",,,"23,59","0,00"
TOTS3,TOTVS,ON      NM,Programas e Serviços,"1,08",7.4,"13,5%","31,41","8,01"
UGPA3,ULTRAPAR,ON      NM,"Petróleo, Gás e Biocombustíveis","2,35",6.66,"17,8%","7,04","13,18"
USIM5,USIMINAS,PNA     N1,Siderurgia e Metalurgia,"0,73",2.31,"3,8%","7,57","19,03"
VALE3,VALE,ON      NM,Mineração,"10,63",9.96,"23,1%","5,10","45,95"
VAMO3,VAMOS,ON      NM,Diversos,"0,64",2.79,"13,4%","7,54","4,81"
VBBR3,VIBRA,ON  EJ  NM,"Petróleo, Gás e Biocombustíveis","8,18",19.26,"44,8%","2,06","18,25"
VIVA3,VIVARA S.A.,ON      NM,"Tecidos, Vestuário e Calçados","2,11",13.8,"21,8%","10,16","9,66"
WEGE3,WEG,ON  EJ  NM,Máquinas e Equipamentos,"1,45",16.78,"30,9%","37,91","4,70"
YDUQ3,YDUQS PART,ON      NM,Diversos,"0,71",2.18,"6,4%","14,40","11,13"
